COUNTRY,COUNTRY_CODE,YEAR,Partyfacs_ID,ABBREVIATION,PARTY_NAME_ENGLISH,PARTY_NAME,FOUNDED,PERSON,WIKIPEDIA,WEBSITE_NATIONAL,WEBSITE_NATIONAL_SUBPAGE_EU,WEBSITE_EU,WEBSITE_EUGROUP_SUBPAGE,EU_GROUP,TWITTER_NATIONAL,FB_NATIONAL,INSTA_NATIONAL,TIKTOK_NATIONAL,TIKTOK_NAT_DISPLAY_NAME,YT_NATIONAL,TWITTER_EU,FB_EU,INSTA_EU,TIKTOK_EU,TIKTOK_EU_DISPLAY_NAME,YT_EU,YT_EU_BIO_HANDLE,YT_EU_ID
Austria,1,2024,463,FPÖ,Freedom Party of Austria,Freiheitliche Partei Osterreichs,1955,NA,https://en.wikipedia.org/wiki/Freedom_Party_of_Austria,https://www.fpoe.at,https://www.fpoe.at/id-partei/,NA,https://www.idgroup.eu/freiheitliche_partei_osterreichs,ID,@FPOE_TV,fpoe,fpoe_at,@fpoe_at,FPÖ,@fpoetv,NA,NA,NA,NA,NA,NA,NA,NA
Austria,1,2024,1659,G,The Greens - The Green Alternative,Die Grünen,1993,NA,https://en.wikipedia.org/wiki/The_Greens_%E2%80%93_The_Green_Alternative,https://gruene.at,https://gruene.at/themen/eu/,https://www.greens-efa.eu/de/,NA,Greens-EFA,@diegruenen,diegruenen,diegruenen,@diegruenenaustria,Die Grünen,@greenwebA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,1,2024,996,KPÖ,Communist Party of Austria,Kommunistische Partei Österreichs,1918,NA,https://en.wikipedia.org/wiki/Communist_Party_of_Austria,https://www.kpoe.at/,https://www.kpoe.at/manifest-der-europaeischen-linken-zu-den-europawahlen-2024/,NA,NA,NA,@KPOE_EL,kpoe.at,kpoe.at,NA,NA,"@KommunistischePartei
",NA,NA,NA,NA,NA,NA,NA,NA
Austria,1,2024,1970,NEOS,NEOS -- The New Austria,NEOS - Das Neue Österreich und Liberales Forum,2012,NA,https://en.wikipedia.org/wiki/NEOS_%E2%80%93_The_New_Austria_and_Liberal_Forum,https://www.neos.eu,https://europa.neos.eu,NA,https://www.reneweuropegroup.eu/parties/neos-das-neue-österreich,Renew,@neos_eu,NeosDasNeueOesterreich,neos_eu,@neos_eu,NEOS,@NEOSNeuesOesterreich,NA,NA,NA,NA,NA,NA,NA,NA
Austria,1,2024,1329,ÖVP,Austrian People's Party,Osterreichische Volkspartei,1945,NA,https://en.wikipedia.org/wiki/Austrian_People%27s_Party,https://www.dievolkspartei.at,https://www.dievolkspartei.at/europa/,NA,NA,EPP,@volkspartei,Volkspartei,volkspartei,@die.volkspartei,Die Volkspartei,@oevpvideos,@OEVPinEuropa,NA,NA,NA,NA,NA,NA,NA
Austria,1,2024,1384,SPÖ,Social Democratic Party of Austria,Sozialdemokratische Partei Osterreichs,1888,NA,https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Austria,https://www.spoe.at,https://www.spoe.at/europaparlament/,https://europa.spoe.at,https://www.socialistsanddemocrats.eu/who-we-are/our-political-family/our-national-parties,S&D,@SPOE_at,Sozialdemokratie,spoe_at,@spoe_at,SPÖ,@spoe_at,@SPOE_EU,spoe.eu,spoe_eu,@spoe_eu,SPÖ_EU,NA,NA,NA
Austria,1,2018,NA,VOLT,VOLT Austria,VOLT Österreich,2018,NA,https://en.wikipedia.org/wiki/Volt_Austria,https://voltoesterreich.org/,https://voltoesterreich.org/policies/wahlprogramme/wahlprogramm-2024-29,https://volteuropa.org/,NA,NA,@VoltOesterreich,VoltOesterreich,voltoesterreich,voltoesterreich,NA,@voltosterreich5780,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2,2024,604,CD&V,Christian-Democrat and Flemish / New Flemish Alliance,Christen-Democratisch & Vlaams,2001,NA,https://en.wikipedia.org/wiki/Christian_Democratic_and_Flemish,https://www.cdenv.be,NA,NA,NA,EPP,@cdenv,cdenv,cdenv,@cdenv,cd&v,@cdenv89,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2,2024,NA,CSP,Christian Social Party,Christlich Soziale Partei,1971,NA,https://en.wikipedia.org/wiki/Christlich_Soziale_Partei_(Belgium),https://www.csp-dg.be,https://www.csp-dg.be/kopie-von-wohnen,NA,NA,EPP,@CSPOstbelgien,csp.dg,cspostbelgien,@cspostbelgien,CSPOstbelgien,@CSPOstbelgien,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2,2024,698,DéFI,"Democratic, Federalist, Independent","Démocrate Fédéraliste Indépendant
",1964,NA,https://en.wikipedia.org/wiki/D%C3%A9FI,https://www.defi.be/,NA,NA,NA,NA,defi_eu,DemocrateFederalisteIndependant,defi.eu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2,2024,1563,Ecolo,Confederated ecologists for the organisation of original struggles,Ecolo,1980,NA,https://en.wikipedia.org/wiki/Ecolo,https://ecolo.be,https://ecolo.be/vos-representants/#parlement-europeen,NA,NA,Greens-EFA,@Ecolo,ecolo,ecolobe,@ecolobe,Ecolo,@EcoloPartiBelgique,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2,2024,528,GROEN,Agalev -- Green,Groen,1981,NA,https://en.wikipedia.org/wiki/Groen_(political_party),https://www.groen.be,https://www.groen.be/europa,NA,NA,Greens-EFA,@groen,groen.be,groen.be,@groenoptiktok,Groenoptiktok,@groen,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2,2024,NA,LE,The Committed Ones (formerly cdH),Les Engagés (formerly cdH),2022,NA,https://en.wikipedia.org/wiki/Les_Engagés_(political_party),https://www.lesengages.be,NA,NA,NA,EPP,@LesEngages_be,LesEngagesMouvementparticipatif,lesengages.be,NA,NA,@lesengages-mouvement,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2,2024,789,MR,Reformist Movement,Mouvement reformateur,2002,NA,https://en.wikipedia.org/wiki/Reformist_Movement,https://www.mr.be,https://www.mr.be/mouvement/parlements/parlement-europeen/,NA,https://www.reneweuropegroup.eu/parties/mouvement-réformateur,Renew,@MR_officiel,MRbe,mrbe,NA,NA,@MRofficiel,NA,NA,NA,NA,NA,NA,NA,NA
